,idx,nid
401,140199,"['4074302', '4064268', '4059585', '4056529', '4063525', '4059794', '4057304', '4056889', '4056254', '4061907']"
402,11785,"['17172', '4087582', '4624660', '4790247']"
406,113151,"['3968091', '3869016', '4433391', '4055930', '3919487', '4097708', '4750800']"
407,138596,"['4228841', '4203634', '3988419', '4170550', '3992612', '4026545']"
408,120788,"['3875098', '3867767', '3860967', '4185452', '4161404', '3872623', '3871427', '4005608', '3875192', '3872714']"
409,124041,"['3806650', '3877812', '3878836', '3860307', '3886581', '3878225', '4571768', '3881170', '3930967', '4115260']"
410,102934,"['3911229', '3906013', '4160934', '4118854', '4011098', '3914695', '3908008', '3900285', '3891991', '4161394']"
411,134247,"['3863051', '3985294', '4138562', '3868737', '3853306', '4604121', '4597734']"
412,67286,"['3774088', '3961725', '3746811']"
413,131895,"['4063069', '4038967', '4039252', '4042902', '4042867', '4700083']"
414,116254,"['3815205', '3827245', '3783567', '3842965', '3823641', '3826072', '3825508', '3831812', '3830366', '3828504']"
415,119410,"['4194810', '4244662', '4102987', '4332383', '4103974', '4246838', '4656408', '4786239']"
418,123299,"['4126338', '3949918', '3960267', '3886607', '3923253', '3921168', '4755603', '4711211']"
419,141413,"['4138769', '4743323', '4217552', '4140695', '4218138', '4223560', '4225567', '4267872']"
421,132989,"['3767691', '3790286', '3780507', '3782906', '3781158', '3764808', '3765126', '4597106']"
422,127858,"['3847337', '3858102', '4549656', '3902742', '3897664', '3833670', '4017483', '3871083', '3835067', '3889185']"
423,138576,"['4054442', '4046008', '4063614', '4062566', '4052356', '4052298', '4045472', '4066428', '4073106', '4071135']"
424,127355,"['3754212', '4461993', '4277762', '4679916']"
428,130787,"['4050613', '4044912', '4044883', '4051920', '4275108', '4028082', '4055710', '4044863', '4035027', '4025896']"
429,144313,"['4120367', '4175112', '4113082', '4605601']"
430,67318,"['2628733', '2292696', '3225718', '3706991', '3570037', '4117220', '4440593', '4771223']"
431,123390,"['4175909', '4472502', '4158360', '4170057', '4169446', '4171196', '4139908', '4160486', '4265085']"
433,128595,"['4095306', '4109470', '4099470', '4096629', '4242451', '4578131', '4392683', '4120813']"
434,13376,"['1170696', '4797090', '2765979', '4755494']"
435,137442,"['3866717', '3872687', '3874506', '3882898']"
436,124270,"['4295913', '3993841', '3935976']"
437,129064,"['4253632', '4119353', '4305639', '4292473', '4680167']"
438,10131,"['3182129', '4232166', '4652867', '4756175']"
439,115712,"['3908069', '3899786', '3906152', '3897545', '3904436', '3890429', '3916986', '3890642', '3928873']"
441,118961,"['3871872', '3915615', '3852617', '3850289', '3948902', '3851345', '4748274', '4738886', '4662522', '4768138']"
442,63260,"['772019', '2849951', '2183611', '855058', '3822911']"
443,118999,"['3845910', '3823491', '3847506', '3731669', '3726690', '3849291', '3841910', '3838342', '3836462', '3851190']"
444,93628,"['3923579', '3887951', '3885694', '3950796', '3943028', '4685270']"
448,120780,"['4166121', '4393240', '4334135', '4108754', '4338475']"
449,123535,"['4718497', '4718495', '4718494', '4718492', '4720428', '4770997']"
