,idx,nid
185,136899,"[4306869, 4305953, 4323277, 4306873, 4303965, 4303531, 4302996, 4303640, 4304883, 4439416]"
186,143358,"[4302206, 4279680, 4272175, 4268254, 4297783, 4770825]"
187,104435,"[4246158, 4257533, 4252015, 4245675, 4260193, 4276327, 4258008, 4378857, 4262369]"
188,152486,"[4431432, 4744330, 4763695, 4801383]"
189,140806,"[4570132, 4569835, 4677141, 4670954, 4335789, 4479236, 4680623]"
190,140666,"[4364495, 4356532, 4381979, 4359462, 4358894, 4418774, 4630759, 4742607, 4684087]"
191,108053,"[4311208, 4302644, 4310117, 4292743, 4311013, 4756210]"
192,139358,"[4143747, 4518863, 4650949, 4270894, 4326308, 4390871, 4531514, 4650098, 4659862, 4746722]"
193,146071,"[4234105, 4300969, 4367447, 4335795, 4366205, 4337142, 4338420, 4573272, 4806208]"
194,139437,"[4227463, 4243294, 4249617, 4291400, 4246278, 4222790, 4224257, 4556756, 4669306, 4138062]"
195,126281,"[4299781, 4170434, 4399124, 4445643]"
196,93676,"[2881362, 4248529, 2921877, 4145363, 4245660, 4179462, 4242403, 4249026, 4798378]"
197,143357,"[4733409, 4719490, 4665947, 4663353, 4757734]"
198,138592,"[4295641, 4293714, 4294984, 4295480, 4298428, 4302935, 4299482, 4311188, 4304863]"
199,154305,"[4378834, 4774639, 4388708, 4512720]"
200,102461,"[4204000, 4216632, 4202071, 4597985, 4270009]"
201,127339,"[4511914, 4436512, 4257955, 3597306, 4257368, 4257644, 4293121, 4613248]"
202,134848,"[4285507, 4347350, 4782408]"
203,140286,"[4546905, 4251043, 4251385, 4251383, 4766923, 4265531, 4449738]"
204,122195,"[4342633, 4362796, 4342781, 4343069, 4341221, 4343543, 4342058, 4364195, 4387198, 4345493]"
205,157412,"[4627866, 4428345, 4528570]"
206,122131,"[4299290, 4284819, 4353898, 4339472, 4333321, 4327191, 4284492, 4360395, 4344152, 4300172]"
207,143495,"[4371619, 4366671, 4379945, 4371110, 4367355, 4369012, 4368951, 4367414, 4439056, 4428403]"
208,120188,"[4206205, 4223608, 4215598, 4306089, 4220922, 4224906, 4220227, 4583295, 4216654, 4550752]"
209,141397,"[4261214, 4255629, 4257920, 4674121]"
210,102806,"[4208721, 4233545, 4230880, 4615877, 4232103, 4346892, 4215280, 4208717, 4388714, 4369566]"
211,150632,"[4550569, 4392956, 4391939, 4478984, 4462342, 4571276, 4391836, 4388617, 4482435, 4458819]"
212,137309,"[4256288, 4270294, 4746734, 4760944, 4791143, 4802593]"
213,155413,"[4395480, 4395266, 4397186, 4397461, 4768298, 4416224, 4543250]"
214,123276,"[4296142, 4306988, 4717915, 4668885]"
215,143245,"[4167082, 4162391, 4162323, 4164449, 4224663, 4184990, 4182583, 4177659, 4197157, 4292094]"
216,77555,"[4317022, 3374918, 4307603, 4309606, 4486947]"
217,137190,"[4311474, 4267498, 4257868]"
218,143241,"[4289408, 4295263, 4297645, 4497560, 4304308, 4302929, 4657237]"
219,134578,"[4378930, 4257165, 3887586, 4305325, 4764339]"
220,128906,"[3748935, 4490139, 4775267, 4651046, 3810562, 4340928, 4082389, 4462886, 4625591, 4772099]"
221,148694,"[4242014, 4243940, 4378924]"
222,129427,"[4391399, 4391966, 4387415, 4387891, 4390023, 4445206]"
223,143248,"[4730889, 4231333, 4255185]"
224,126032,"[4331904, 4334245, 4395535, 4336028, 4341935, 4335595, 4334296, 4329677, 4245516, 4329868]"
225,157628,"[4421999, 4462359, 4424047, 4543253]"
226,20329,"[4322518, 4740494, 4740484]"
227,139674,"[4327933, 4233030, 4219127, 4214822, 4228311, 4224721, 4220335, 4239594, 4232208, 4235717]"
228,154347,"[4481343, 4393623, 4393195, 4540251, 4450180, 4498985, 4418010, 4420861]"
229,144073,"[4338256, 4532104, 4338431, 4327533, 4328606, 4386912]"
230,131576,"[4427780, 4706882, 4733148]"
231,151106,"[4424299, 4443722, 4421836, 4739859, 4798851]"
232,146198,"[4427334, 4425392, 4424321, 4497213, 4426619, 4499080, 4427579, 4428985, 4428879, 4428740]"
233,155119,"[4391121, 4395439, 4394935]"
234,126084,"[4382273, 4393399, 4517947, 4393587, 4530402, 4395138, 4445136]"
235,125414,"[4343869, 4418874, 4365313, 4351779, 4350532, 4350388, 4349887, 4348270, 4345894, 4345846]"
236,137857,"[4422019, 4565062, 4447619, 4724339]"
237,130757,"[4230930, 4423711, 4220137, 4233884, 4191200, 4188665, 4184106, 4245095, 4213507, 4183983]"
238,143924,"[4328824, 4555622, 4292663, 4559660, 4530885, 4765058]"
239,152080,"[4281905, 4296984, 4299839, 4299536, 4293467, 4300035, 4299129, 4298964, 4297032, 4297938]"
240,129072,"[4223003, 4220009, 4219425, 4216762, 4215147, 4271316, 4215509, 4222609, 4221036, 4216986]"
241,146512,"[4393145, 4426096, 4424121, 4395321, 4437209, 4435771, 4431485, 4428111, 4388613, 4533963]"
242,153025,"[4389307, 4473892, 4447470, 4415951, 4722628]"
243,124025,"[4253814, 4268556, 4263852, 4254217, 4254149, 4253484, 4264281, 4256381, 4255264, 4253992]"
244,140721,"[4339904, 4362300, 4336308, 4331735, 4387203]"
245,154349,"[4385955, 4387004, 4387437, 4383028, 4382962, 4379924, 4379174, 4587072, 4378789]"
246,100150,"[4358507, 4526802, 4597142, 4695474]"
247,157581,"[4698746, 4425476, 4484453]"
248,155819,"[4417581, 4420273, 4386869, 4415649, 4416542, 4398060, 4416421, 4445227, 4418658, 4415934]"
249,133437,"[4335122, 4619820, 4354515, 4306852, 4280489]"
250,157854,"[4446946, 4425432, 4427592, 4428992, 4429652, 4714988, 4801898]"
251,146560,"[4291406, 4733228, 4671383, 4575539, 4571008, 4269946, 4598327, 4521071, 4272352, 4275756]"
252,155116,"[4552319, 4594942, 4446051]"
253,147333,"[4215595, 4203181, 4213339, 4479164, 4765111, 4217894, 4264100, 4215913]"
254,136878,"[4311015, 4292972, 4309139, 4291701, 4715273]"
255,142869,"[4098136, 4101163, 4070586, 4299431, 4602853, 4767489]"
256,113496,"[4225698, 4335797, 4336506, 4350131]"
257,144938,"[4511466, 4470321, 4431020, 4428742, 4592225, 4443996, 4430848, 4484286, 4448606, 4441054]"
258,123519,"[4296066, 4287179, 4286086, 4302058, 4294652, 4282969, 4300287, 4293086, 4292026, 4299118]"
259,144945,"[4399038, 4435156, 4432526, 4424573, 4423870, 4423316, 4423162, 4399725, 4399578, 4445234]"
260,143541,"[4246759, 4244853, 4243695, 4300151, 4274398, 4264210, 4253498, 4245107, 4263755, 4635978]"
261,155167,"[4415736, 4613445, 4392097, 4400394, 4392643, 4488082, 4392682, 4400918]"
262,119181,"[3938968, 4390028, 4479443, 4527872]"
263,139433,"[4218814, 4181969, 4180985, 4167888, 4243010, 4378268, 4749771, 4678907]"
264,122917,"[4427279, 4431692, 4431592, 4424959, 4444343]"
265,137947,"[3904988, 4282398, 4273263, 4274894]"
266,153515,"[4344368, 4342753, 4342839, 4344393, 4354207, 4399797, 4387205]"
267,44913,"[4466038, 4391803, 4384655, 4382817, 4371980, 4368381, 4418624, 4370006, 4387176, 4370529]"
268,134839,"[4433984, 4628207, 4503496, 4649968, 4378965, 4355212, 4327587, 4307491, 4618736, 4793722]"
269,140693,"[4387889, 4387146, 4365665, 4368292, 4418787, 4431489, 4612504, 4392228, 4367417, 4395988]"
270,125419,"[4343853, 4316355, 4309369, 4297170, 4529240, 4395404, 4336403, 4325863, 4320755, 4314211]"
271,134728,"[4391384, 4390845, 4391250, 4550633, 4398487, 3813790, 4387894, 4397756, 4498600]"
272,127378,"[4328626, 4327436, 4322793, 4322525, 4321905, 4320151, 4314035, 4313955, 4305716, 4427783]"
273,145318,"[4358689, 4356166, 4357914, 4355560, 4367212, 4361545, 4364614, 4418780, 4366542, 4355596]"
274,133053,"[4167905, 4722215, 4151474]"
275,151788,"[4669122, 4474436, 4447473, 4741705]"
276,151256,"[4391017, 4385121, 4385927, 4433105, 4489578]"
277,120106,"[4224808, 4646421, 4372428, 4312916, 4193490, 4212919, 4436671, 4195582, 4507625]"
278,127336,"[4318934, 4260738, 4227512, 4334095, 4313026, 4328654, 4386909]"
279,115244,"[3162495, 4282903, 4488093, 4782324, 4399441, 4294733, 4282413, 4728327]"
280,96914,"[4549966, 2753076, 2754883, 4548187]"
281,113301,"[4182948, 4181928, 4125044, 4114607, 4196467, 4195724, 4193946, 4193605, 4187453, 4186213]"
